pair_id,word,split,group,gold,cos_L5,rel_cos_L5,cos_L8,rel_cos_L8,cos_L12,rel_cos_L12,cos_sent,rel_cos_sent,jaccard,rel_jaccard,simlr,rel_simlr,finetuned,rel_finetuned
3373-frisk,frisk,train,COMPARE,0.0,0.8262554,2.8126924,0.6452549,2.179501,0.08190165,1.3779117,0.65062094,2.8832088,0.08333333333333333,1.4166666666659722,0.3322673208056161,1.9968019624168483,0.023184039,1.0695521
3374-frisk,frisk,train,COMPARE,1.0,0.9067414,3.4577866,0.89424074,3.5412977,0.868573,3.6680322,0.8376944,3.6010132,0.08,1.3999999999993333,0.7150742919909835,3.1452228759729506,0.9854414,3.956324
3375-frisk,frisk,train,COMPARE,1.0,0.8525417,3.0233767,0.8481073,3.2889767,0.74214464,3.29998,0.7039549,3.087852,0.0625,1.312499999999479,0.5107954525622527,2.5323863576867582,0.79078746,3.3723624
3376-frisk,frisk,train,COMPARE,0.0,0.75017995,2.202949,0.60241365,1.9451864,0.2831469,1.9637673,0.7228768,3.1604557,0.05263157894736842,1.2631578947364035,0.11604929219483869,1.348147876584516,0.041576464,1.1247294
3377-frisk,frisk,train,COMPARE,1.0,0.85775805,3.0651858,0.88230354,3.4760087,0.8883165,3.7255087,0.7979728,3.4486005,0.16666666666666666,1.8333333333319444,0.43146971629824393,2.294409148894732,0.98130715,3.9439216
3378-frisk,frisk,train,COMPARE,0.0,0.7837988,2.4724035,0.6002922,1.9335834,0.08298433,1.3810635,0.54956293,2.4954472,0.07692307692307693,1.3846153846147438,0.09576449072934728,1.2872934721880418,0.05123539,1.1537062
3379-frisk,frisk,train,COMPARE,0.0,0.8262818,2.812904,0.7670516,2.8456526,0.5273432,2.6746602,0.7901055,3.4184139,0.045454545454545456,1.2272727272723485,0.46189403186626116,2.385682095598783,0.017378367,1.0521351
3380-frisk,frisk,train,COMPARE,0.0,0.8045713,2.6388946,0.73422,2.6660848,0.45068383,2.451493,0.40995413,1.9597653,0.07142857142857142,1.357142857142262,0.11170808007283518,1.3351242402185055,0.014945963,1.044838
3381-frisk,frisk,train,COMPARE,1.0,0.8536309,3.0321069,0.85677695,3.3363943,0.84736514,3.6062927,0.83213687,3.5796888,0.08695652173913043,1.4347826086949276,0.5651134160727445,2.6953402482182334,0.9664101,3.8992302
3382-frisk,frisk,train,COMPARE,0.0,0.740885,2.1284502,0.637506,2.1371195,0.28849882,1.9793477,0.79266393,3.4282303,0.02702702702702703,1.13513513513491,0.32886503685901186,1.9865951105770356,0.11709943,1.3512983
3383-frisk,frisk,train,COMPARE,1.0,0.7567414,2.255539,0.69276303,2.4393408,0.73539484,3.2803302,0.7981534,3.4492936,0.08,1.3999999999993333,0.15070679808222337,1.45212039424667,0.9734978,3.9204934
3384-frisk,frisk,train,COMPARE,0.0,0.7379253,2.104728,0.61062014,1.9900707,0.11723554,1.480774,0.79422927,3.4342365,0.02564102564102564,1.1282051282049146,0.13406492104394996,1.4021947631318499,0.114794426,1.3443832
3386-frisk,frisk,train,COMPARE,1.0,0.8457685,2.96909,0.73204476,2.6541872,0.6124643,2.9224606,0.83385354,3.5862758,0.05128205128205128,1.2564102564098292,0.43443292596979477,2.3032987779093843,0.9687936,3.9063807
3387-frisk,frisk,train,COMPARE,1.0,0.9160021,3.532011,0.91822135,3.6724567,0.82792425,3.5496974,0.8042305,3.4726117,0.05128205128205128,1.2564102564098292,0.7680599163408333,3.3041797490224996,0.9873639,3.9620917
3388-frisk,frisk,train,COMPARE,0.0,0.7880918,2.5068116,0.7152205,2.562169,0.2778474,1.9483398,0.7958854,3.4405913,0.022222222222222223,1.111111111110926,0.484466729651677,2.453400188955031,0.019309754,1.0579293
3389-frisk,frisk,train,COMPARE,0.0,0.83236897,2.861693,0.688772,2.4175124,0.38628712,2.2640243,0.75001925,3.2646022,0.043478260869565216,1.2173913043474638,0.4452163221294873,2.3356489663884616,0.031050442,1.0931513
3390-frisk,frisk,train,COMPARE,1.0,0.7885959,2.5108523,0.6518971,2.2158296,0.44070327,2.4224381,0.79396063,3.433206,0.06666666666666667,1.333333333332778,0.3468098742376483,2.040429622712945,0.9834548,3.9503646
3392-frisk,frisk,train,COMPARE,1.0,0.82104427,2.7709255,0.6805895,2.3727593,0.2840873,1.966505,0.82663095,3.5585623,0.029411764705882353,1.1470588235291665,0.6076461988487729,2.8229385965463187,0.9844558,3.9533675
3393-frisk,frisk,train,COMPARE,1.0,0.81102884,2.690652,0.7151442,2.5617518,0.71586096,3.2234643,0.87002236,3.7250564,0.023809523809523808,1.1190476190474206,0.38441503030743596,2.153245090922308,0.9728822,3.9186466
3394-frisk,frisk,train,COMPARE,0.0,0.76456517,2.3182464,0.6243483,2.065155,0.24256557,1.8456289,0.8328067,3.582259,0.03571428571428571,1.1785714285711308,0.25719557064761595,1.771586711942848,0.34767145,2.0430143
3395-frisk,frisk,train,COMPARE,1.0,0.83186346,2.8576412,0.640437,2.15315,0.29265535,1.9914479,0.66213834,2.927401,0.03125,1.1562499999997395,0.40624182870987335,2.21872548612962,0.97670877,3.9301262
3397-frisk,frisk,train,COMPARE,1.0,0.8771758,3.220819,0.73780024,2.685666,0.43499544,2.4058216,0.5863369,2.6365497,0.1,1.4999999999991667,0.23218930832381587,1.6965679249714476,0.9478277,3.843483
3398-frisk,frisk,train,COMPARE,0.0,0.7811271,2.4509897,0.7673124,2.8470793,0.5297059,2.681538,0.72746664,3.1780672,0.08695652173913043,1.4347826086949276,0.3438223922043288,2.0314671766129866,0.27561486,1.8268446
3399-frisk,frisk,train,COMPARE,1.0,0.73228455,2.0595174,0.6911237,2.4303749,0.5007843,2.597343,0.73814654,3.219046,0.03571428571428571,1.1785714285711308,0.13930345311867198,1.417910359356016,0.96275127,3.8882537
3400-frisk,frisk,train,COMPARE,1.0,0.8050953,2.6430948,0.7353061,2.6720247,0.3848977,2.2599795,0.7182297,3.1426249,0.058823529411764705,1.2941176470583333,0.2629005057156797,1.788701517147039,0.9893551,3.9680653
3401-frisk,frisk,train,COMPARE,0.0,0.7760452,2.4102585,0.7015262,2.48727,0.35434955,2.171049,0.75564575,3.286191,0.02631578947368421,1.1315789473682019,0.3211452456488103,1.963435736946431,0.029581318,1.0887439
3402-frisk,frisk,train,COMPARE,1.0,0.88912976,3.3166296,0.84254587,3.2585592,0.45004648,2.4496377,0.8895525,3.7999935,0.1,1.4999999999991667,0.71530047656107,3.14590142968321,0.9147171,3.744151
3403-frisk,frisk,train,COMPARE,0.0,0.89589334,3.3708396,0.78547657,2.946426,0.5130532,2.6330597,0.7927396,3.428521,0.05,1.2499999999995834,0.7149931635436928,3.144979490631078,0.031537596,1.0946128
3404-frisk,frisk,train,COMPARE,0.0,0.7887845,2.512364,0.71206164,2.544892,0.49834892,2.5902534,0.75603557,3.2876866,0.034482758620689655,1.1724137931031609,0.24060693136849473,1.7218207941054842,0.21427102,1.6428131
3405-frisk,frisk,train,COMPARE,0.0,0.82210106,2.7793956,0.7273828,2.6286893,0.27359307,1.9359547,0.70005333,3.0728817,0.02702702702702703,1.13513513513491,0.42467395675241104,2.2740218702572332,0.022767821,1.0683035
3406-frisk,frisk,train,COMPARE,0.0,0.81614566,2.7316632,0.63498294,2.12332,0.29404142,1.9954829,0.75474846,3.282748,0.029411764705882353,1.1470588235291665,0.3618539173888534,2.0855617521665604,0.15908326,1.4772499
3407-frisk,frisk,train,COMPARE,0.0,0.76373506,2.311593,0.5795325,1.8200408,0.23041897,1.8102683,0.77085406,3.3445458,0.06896551724137931,1.3448275862063217,0.20777979246852396,1.6233393774055718,0.15275495,1.4582648
3408-frisk,frisk,train,COMPARE,1.0,0.80435187,2.6371362,0.6969403,2.4621878,0.63663983,2.9928393,0.77911144,3.3762293,0.0625,1.312499999999479,0.1453141400299287,1.4359424200897861,0.9676302,3.9028907
3409-frisk,frisk,train,COMPARE,0.0,0.84747636,2.9827783,0.72355163,2.6077352,0.4712188,2.5112734,0.68403244,3.011409,0.045454545454545456,1.2272727272723485,0.26531131882868103,1.795933956486043,0.02338703,1.0701611
3411-frisk,frisk,train,COMPARE,1.0,0.83782345,2.9054103,0.70814514,2.5234714,0.45889282,2.4753907,0.7860141,3.4027147,0.08333333333333333,1.4166666666659722,0.4281613274932618,2.2844839824797853,0.9241289,3.7723866
3412-frisk,frisk,train,COMPARE,1.0,0.92661005,3.6170337,0.92462695,3.7074912,0.77149296,3.3854175,0.79041475,3.4196005,0.043478260869565216,1.2173913043474638,0.8361436266123519,3.5084308798370554,0.9651918,3.8955753
3413-frisk,frisk,train,COMPARE,0.0,0.77188003,2.376875,0.65130556,2.2125945,0.20147955,1.7260213,0.62720156,2.793348,0.037037037037037035,1.1851851851848765,0.18915521586531758,1.5674656475959527,0.024143439,1.0724304
3414-frisk,frisk,train,COMPARE,0.0,0.8059753,2.6501482,0.5713156,1.7750994,0.09908135,1.4279244,0.7492506,3.2616527,0.058823529411764705,1.2941176470583333,0.3658230618683505,2.0974691856050516,0.034274913,1.1028247
3415-frisk,frisk,train,COMPARE,0.0,0.87892914,3.2348719,0.855687,3.330433,0.59769017,2.8794508,0.7248055,3.1678562,0.08333333333333333,1.4166666666659722,0.4352544970777738,2.3057634912333214,0.020405464,1.0612164
3416-frisk,frisk,train,COMPARE,1.0,0.7516683,2.2148778,0.63713276,2.1350782,0.13941014,1.5453277,0.64467,2.860375,0.03333333333333333,1.166666666666389,0.28247054215994116,1.8474116264798235,0.1500225,1.4500675
3417-frisk,frisk,train,COMPARE,0.0,0.7754117,2.4051812,0.61792284,2.030012,0.22245118,1.7870728,0.7027591,3.0832639,0.043478260869565216,1.2173913043474638,0.25148057685921377,1.7544417305776414,0.1299073,1.3897219
3418-frisk,frisk,train,COMPARE,1.0,0.8177092,2.744195,0.7135319,2.5529337,0.42588115,2.3792887,0.8138644,3.5095773,0.03333333333333333,1.166666666666389,0.37400324315359873,2.122009729460796,0.9750113,3.9250338
3419-frisk,frisk,train,COMPARE,0.0,0.8035168,2.630443,0.7072289,2.51846,0.39868122,2.3001056,0.7467085,3.2518985,0.058823529411764705,1.2941176470583333,0.31286190264526426,1.9385857079357929,0.044848904,1.1345468
3421-frisk,frisk,train,COMPARE,0.0,0.7867336,2.4959261,0.6766589,2.3512616,0.3218941,2.0765665,0.6731572,2.9696808,0.08333333333333333,1.4166666666659722,0.14605043339031448,1.4381513001709434,0.047205944,1.1416178
3422-frisk,frisk,train,COMPARE,1.0,0.8278728,2.8256562,0.73154384,2.6514475,0.43443018,2.4041762,0.7697139,3.3401704,0.034482758620689655,1.1724137931031609,0.47907202150584616,2.4372160645175382,0.9846591,3.953977
3423-frisk,frisk,train,COMPARE,1.0,0.8410436,2.9312198,0.7426263,2.7120616,0.38148105,2.2500331,0.7518625,3.2716746,0.07692307692307693,1.3846153846147438,0.3742313747874627,2.122694124362388,0.98496693,3.9549007
3424-frisk,frisk,train,COMPARE,0.0,0.8315735,2.855317,0.7048267,2.5053217,0.31616098,2.0598764,0.8036951,3.4705572,0.07142857142857142,1.357142857142262,0.3233758093201854,1.970127427960556,0.015836293,1.0475088
3425-frisk,frisk,train,COMPARE,0.0,0.762803,2.3041227,0.60560846,1.96266,0.0908166,1.4038644,0.8545599,3.6657262,0.02631578947368421,1.1315789473682019,0.33012464356197413,1.9903739306859225,0.029511299,1.0885339
3426-frisk,frisk,train,COMPARE,1.0,0.7903601,2.5249922,0.6330902,2.1129677,0.32570028,2.0876467,0.644261,2.8588057,0.05,1.2499999999995834,0.12061978958382477,1.3618593687514742,0.89157236,3.674717
3428-frisk,frisk,train,COMPARE,0.0,0.7622467,2.299664,0.5354944,1.5791799,0.042050168,1.2618979,0.7135866,3.1248093,0.047619047619047616,1.2380952380948413,0.23865911581109253,1.7159773474332776,0.027899474,1.0836984
3429-frisk,frisk,train,COMPARE,0.0,0.74544173,2.1649723,0.69797033,2.4678216,0.5048697,2.6092362,0.8420781,3.6178336,0.037037037037037035,1.1851851851848765,0.19262858034227887,1.5778857410268365,0.025616579,1.0768497
3430-frisk,frisk,train,COMPARE,0.0,0.8171083,2.7393785,0.6885842,2.4164853,0.3450184,2.1438847,0.6691544,2.9543219,0.07142857142857142,1.357142857142262,0.39115278909191026,2.173458367275731,0.024196697,1.0725901
3431-frisk,frisk,train,COMPARE,1.0,0.8401135,2.9237652,0.73341686,2.6616917,0.6444338,3.0155287,0.80514103,3.4761055,0.043478260869565216,1.2173913043474638,0.4550304990197506,2.365091497059252,0.95174605,3.8552382
3432-frisk,frisk,train,COMPARE,0.0,0.83721715,2.9005508,0.7177565,2.5760396,0.47630522,2.5260806,0.75247586,3.2740278,0.045454545454545456,1.2272727272723485,0.2312244839538569,1.6936734518615708,0.012492081,1.0374763
3433-frisk,frisk,train,COMPARE,1.0,0.81240916,2.7017152,0.6984209,2.470286,0.32904255,2.0973766,0.86071444,3.6893415,0.06666666666666667,1.333333333332778,0.5528556369878929,2.6585669109636787,0.09604637,1.2881391
3434-frisk,frisk,train,COMPARE,1.0,0.80298173,2.6261544,0.71294755,2.5497375,0.60848,2.9108617,0.76477623,3.3212247,0.05555555555555555,1.277777777777315,0.2550626086648617,1.765187825994585,0.9841403,3.9524207
3435-frisk,frisk,train,COMPARE,0.0,0.79772687,2.5840368,0.73550755,2.6731267,0.48537952,2.5524974,0.73204446,3.1956322,0.05,1.2499999999995834,0.16855971037435008,1.5056791311230502,0.079912685,1.239738
3436-frisk,frisk,train,COMPARE,1.0,0.80187607,2.6172926,0.7492126,2.7480845,0.35117343,2.161803,0.5997894,2.688167,0.09090909090909091,1.454545454544697,0.2718960136190425,1.8156880408571274,0.7988119,3.3964357
3437-frisk,frisk,train,COMPARE,1.0,0.7926977,2.5437284,0.6572453,2.245081,0.39317808,2.2840848,0.8062496,3.4803588,0.024390243902439025,1.1219512195119918,0.3285545519162158,1.9856636557486473,0.98343635,3.950309
3438-frisk,frisk,train,COMPARE,0.0,0.84305686,2.947356,0.6374345,2.1367283,0.08750312,1.3942184,0.5701048,2.5742667,0.038461538461538464,1.1923076923073719,0.3346254764804814,2.003876429441444,0.069498934,1.2084968
3439-frisk,frisk,train,COMPARE,0.0,0.8061523,2.6515665,0.68258595,2.3836784,0.40316713,2.3131647,0.7978674,3.4481964,0.05405405405405406,1.2702702702698199,0.2320927707336494,1.6962783122009482,0.42079765,2.262393
3440-frisk,frisk,train,COMPARE,0.0,0.83730364,2.901244,0.6386536,2.143396,0.2938153,1.9948248,0.6782267,2.9891324,0.038461538461538464,1.1923076923073719,0.28108034050277503,1.843241021508325,0.020900872,1.0627027
3441-frisk,frisk,train,COMPARE,1.0,0.8513346,3.013702,0.76273566,2.8220472,0.61694825,2.935514,0.74840343,3.2584019,0.04,1.1999999999996667,0.5615996707574692,2.6847990122724075,0.9575032,3.8725095
3442-frisk,frisk,train,COMPARE,0.0,0.8562728,3.0532818,0.73632276,2.6775854,0.53649914,2.7013144,0.7782557,3.3729458,0.03125,1.1562499999997395,0.5359601756730328,2.6078805270190983,0.03024611,1.0907383
3443-frisk,frisk,train,COMPARE,0.0,0.7987369,2.5921319,0.67227864,2.3273041,0.44592002,2.4376247,0.71249515,3.1206212,0.03571428571428571,1.1785714285711308,0.36551388181661026,2.0965416454498307,0.014063448,1.0421903
3444-frisk,frisk,train,COMPARE,1.0,0.9055685,3.4483857,0.9147269,3.6533442,0.8738785,3.6834772,0.863825,3.701277,0.07894736842105263,1.3947368421046051,0.7426262147253069,3.2278786441759206,0.98269606,3.9480882
3445-frisk,frisk,train,COMPARE,1.0,0.8144371,2.717969,0.6574569,2.2462382,0.42711526,2.3828812,0.7054317,3.0935185,0.05555555555555555,1.277777777777315,0.19264996680553303,1.577949900416599,0.9611493,3.883448
2068-pogrom,pogrom,train,COMPARE,1.0,0.8542161,3.036797,0.77489954,2.888576,0.5408049,2.7138493,0.5767002,2.5995734,0.03225806451612903,1.1612903225803763,0.3485119519793331,2.0455358559379992,0.9476927,3.8430781
2069-pogrom,pogrom,train,COMPARE,1.0,0.87321246,3.1890526,0.8310153,3.1954942,0.7780787,3.4045892,0.7724205,3.350556,0.0625,1.312499999999479,0.5330817128062696,2.5992451384188087,0.9925921,3.9777763
2070-pogrom,pogrom,train,COMPARE,1.0,0.8241834,2.7960856,0.8077575,3.0682886,0.7375417,3.28658,0.74130046,3.2311478,0.047619047619047616,1.2380952380948413,0.45266005768581496,2.357980173057445,0.99165195,3.9749558
2071-pogrom,pogrom,train,COMPARE,1.0,0.8642966,3.1175923,0.8417258,3.254074,0.806815,3.4882452,0.8427549,3.6204305,0.023809523809523808,1.1190476190474206,0.56552450384255,2.6965735115276503,0.99063665,3.97191
2072-pogrom,pogrom,train,COMPARE,1.0,0.8548021,3.041494,0.7851435,2.944604,0.7487214,3.319126,0.81139076,3.5000856,0.023809523809523808,1.1190476190474206,0.5954740362375663,2.7864221087126992,0.9931959,3.9795876
2073-pogrom,pogrom,train,COMPARE,0.0,0.85341465,3.0303736,0.8075342,3.0670671,0.75705135,3.3433757,0.77836204,3.3733537,0.03333333333333333,1.166666666666389,0.49133040436550507,2.4739912130965154,0.05920946,1.1776284
2074-pogrom,pogrom,train,COMPARE,1.0,0.8195816,2.7592025,0.65641516,2.2405407,0.53735983,2.70382,0.8659372,3.7093813,0.044444444444444446,1.222222222221852,0.3779308348109511,2.1337925044328534,0.9934824,3.9804473
2075-pogrom,pogrom,train,COMPARE,1.0,0.8320051,2.858776,0.72714376,2.6273818,0.61422426,2.9275842,0.8420354,3.6176696,0.047619047619047616,1.2380952380948413,0.5650086336371932,2.69502590091158,0.99257976,3.9777393
2076-pogrom,pogrom,train,COMPARE,1.0,0.73685217,2.096127,0.67894846,2.3637838,0.56769186,2.7921212,0.794418,3.4349606,0.03571428571428571,1.1785714285711308,0.4525538636678774,2.357661591003632,0.99159145,3.9747744
2077-pogrom,pogrom,train,COMPARE,1.0,0.8266773,2.8160744,0.85255206,3.3132868,0.81888497,3.5233827,0.8607098,3.6893237,0.0196078431372549,1.0980392156861112,0.7139596005336445,3.1418788016009334,0.99273324,3.9781997
2078-pogrom,pogrom,train,COMPARE,1.0,0.8555016,3.0471003,0.73460484,2.6681893,0.6080434,2.9095907,0.59380555,2.665207,0.041666666666666664,1.2083333333329862,0.4689754460105998,2.4069263380317993,0.9926819,3.9780457
2079-pogrom,pogrom,train,COMPARE,1.0,0.87592804,3.210818,0.82720464,3.1746523,0.82795453,3.5497856,0.8239126,3.5481322,0.05405405405405406,1.2702702702698199,0.6277250407771477,2.8831751223314432,0.99367803,3.981034
2080-pogrom,pogrom,train,COMPARE,1.0,0.8833935,3.270654,0.7939389,2.9927092,0.65310264,3.040765,0.711482,3.116734,0.02702702702702703,1.13513513513491,0.5365496130215442,2.609648839064633,0.993375,3.980125
2081-pogrom,pogrom,train,COMPARE,1.0,0.89583737,3.370391,0.87188035,3.4190004,0.8488345,3.6105704,0.7960609,3.4412646,0.038461538461538464,1.1923076923073719,0.6565254300020881,2.9695762900062643,0.9937996,3.9813988
2082-pogrom,pogrom,train,COMPARE,1.0,0.8479817,2.9868283,0.79112065,2.9772954,0.7352197,3.2798204,0.6520103,2.8885398,0.041666666666666664,1.2083333333329862,0.3982554476848476,2.1947663430545425,0.9936373,3.980912
2083-pogrom,pogrom,train,COMPARE,1.0,0.8187918,2.752872,0.8033478,3.0441704,0.7135497,3.2167356,0.8487579,3.6434643,0.0625,1.312499999999479,0.5010277086506978,2.5030831259520934,0.99280256,3.9784076
2084-pogrom,pogrom,train,COMPARE,1.0,0.86296177,3.1068935,0.8395481,3.2421632,0.82545424,3.542507,0.7598301,3.3022463,0.05555555555555555,1.277777777777315,0.5534455333825848,2.6603366001477546,0.9926075,3.9778223
2085-pogrom,pogrom,train,COMPARE,1.0,0.9047124,3.4415243,0.8636904,3.3742063,0.7986295,3.464416,0.87929535,3.7606368,0.046511627906976744,1.2325581395344962,0.7516397069352524,3.254919120805757,0.9927712,3.9783137
2086-pogrom,pogrom,train,COMPARE,1.0,0.9016825,3.4172397,0.910345,3.629378,0.90823996,3.7835088,0.83933085,3.6072924,0.045454545454545456,1.2272727272723485,0.7581703643518775,3.2745110930556325,0.99289834,3.978695
2087-pogrom,pogrom,train,COMPARE,1.0,0.8722718,3.1815133,0.8598486,3.3531945,0.8092345,3.4952888,0.7956289,3.439607,0.027777777777777776,1.1388888888886575,0.7090204875253537,3.1270614625760613,0.9940071,3.9820213
2088-pogrom,pogrom,train,COMPARE,1.0,0.8431659,2.9482298,0.72116566,2.5946853,0.6344187,2.9863734,0.84918773,3.6451135,0.046511627906976744,1.2325581395344962,0.4888654874975597,2.466596462492679,0.9922367,3.97671
2089-pogrom,pogrom,train,COMPARE,1.0,0.8457133,2.9686475,0.82744086,3.1759443,0.82888067,3.552482,0.8149364,3.5136902,0.01694915254237288,1.0847457627117232,0.6980979809281573,3.0942939427844722,0.990923,3.972769
2090-pogrom,pogrom,train,COMPARE,1.0,0.8095957,2.6791654,0.79731095,3.0111525,0.7785528,3.4059696,0.81884825,3.5287,0.020833333333333332,1.104166666666493,0.5332561138509773,2.599768341552932,0.9936534,3.9809604
2091-pogrom,pogrom,train,COMPARE,1.0,0.90227985,3.4220273,0.78058624,2.9196787,0.71021885,3.207039,0.7357774,3.2099555,0.06976744186046512,1.3488372093017442,0.5179441917507791,2.553832575252337,0.9941989,3.9825969
2092-pogrom,pogrom,train,COMPARE,1.0,0.8042741,2.6365128,0.7090963,2.5286736,0.70576954,3.1940866,0.71657026,3.1362574,0.03225806451612903,1.1612903225803763,0.31601973874172745,1.9480592162251824,0.98927313,3.9678195
2093-pogrom,pogrom,train,COMPARE,1.0,0.8712036,3.1729517,0.8570909,3.3381114,0.8062732,3.4866679,0.76001245,3.302946,0.037037037037037035,1.1851851851848765,0.5091286435379972,2.527385930613992,0.9913078,3.9739234
2094-pogrom,pogrom,train,COMPARE,0.0,0.83882093,2.9134052,0.7795055,2.9137678,0.36361602,2.1980252,0.85059273,3.650504,0.03225806451612903,1.1612903225803763,0.68998187183285,3.06994561549855,0.2650215,1.7950644
